Key,"English, en-US","Turkish, tr","French, fr","German, de","Japanese, ja","Hindi, hi","Korean, ko","Spanish, es","Portuguese, pt","Chinese, zh"
,,,,,,,,,,
# Navbar
"""Navigation""","Navigation","Navigasyon","Navigation","Navigation",ナビゲーション,मार्गदर्शन,탐색,Navegación,Navegação,导航
"""Entries""","Entries","Girişler","Entrées","Einträge",エントリー,प्रविष्टियां,항목,Entradas,Entradas,条目
"""Settings""","Settings","Ayarlar","Paramètres","Einstellungen",設定,सेटिंग्स,설정,Configuración,Definições,设置
,,,,,,,,,,
# Settings Page
"""Notifications""","Notifications","Bildirimler","Notifications","Benachrichtigungen",通知,सूचनाएं,알림,Notificaciones,Notificações,通知
"""Prompt To Delete""","Prompt To Delete","Silme işlemi Onayı","Invite à supprimer","Zum Löschen auffordern",削除を促す,हटाने का संकेत दें,삭제할지 묻는 메시지,Preguntar para borrar,Pedir para apagar,提示删除
"""Show Running Balance""","Show Running Balance","İşlem Bildirimi","Afficher le solde courant","Laufbilanz anzeigen",残高表示,रनिंग बैलेंस दिखाएँ,러닝 잔액 표시,Mostrar saldo,Mostrar saldo em curso,显示运行余额
"""Allow notification""","Allow notification","Bildirime izin ver","Autoriser les notifications","Benachrichtigung zulassen",通知を許可する,अधिसूचना की अनुमति दें,알림 허용,Permitir notificación,Permitir notificação,允许通知
"""Currency Symbol""","Currency Symbol","Para Birimi Sembolü","Symbole monétaire","Währungssymbol",通貨記号,मुद्रा चिह्न,통화 기호,Símbolo de moneda,Símbolo da moeda,货币符号
"""Appearance""","Appearance","Görünüm","Apparence","Aussehen",外観,उपस्थिति,모양,Aspecto,Aparência,外观
"""Light""","Light","Açık","Lumière","Licht",明るい,रोशनी,밝은,Claro,Claro,浅色
"""Dark""","Dark","Koyu","Sombre","Dunkel",暗い,अँधेरा,어둡게,Oscuro,Escuro,深色
"""Auto""","Auto","Otomatik","Auto","Auto",自動,ऑटो,자동,Auto,Automático,自动
"""Follow the preference of your device""","Follow the preference of your device","Cihazınızın tercihini kullan","Suivez les préférences de votre appareil","Befolgen Sie die Einstellungen Ihres Geräts",デバイスの好みに合わせる,अपने डिवाइस की प्राथमिकता का पालन करें,기기의 기본 설정을 따르세요.,Siga las preferencias de su dispositivo,Siga as preferências do seu dispositivo,根据您设备的偏好
"""Select Language""","Select Language","Dil Seçiniz","Sélectionnez la langue","Wählen Sie Sprache aus",言語を選択,भाषा चुने,언어 선택,Seleccionar idioma,Selecionar idioma,选择语言
,,,,,,,,,,
# Entries Page
"  ""No entries yet. Add your first entry.""","  No entries yet. Add your first entry.","Henüz giriş yok. İlk girişinizi ekleyin.","Aucune entrée pour l'instant. Ajoutez votre première entrée.","Aucune entrée pour l'instant. Ajoutez votre première entrée.","  まだエントリがありません。最初のエントリーを追加してください。","  अभी तक कोई प्रविष्टि नहीं. अपनी पहली प्रविष्टि जोड़ें.","  아직 항목이 없습니다. 첫 번째 항목을 추가하세요.","  Aún no hay entradas. Añade tu primera entrada.","  Ainda não há registos. Adicione a sua primeira entrada.","  尚无条目。添加您的第一个条目。"
"""Balance""","Balance","Tutar","équilibre","Gleichgewicht",バランス,संतुलन,잔액,Saldo,Balanço,余额
"""Name""","Name","İsim","Nom","Name",名前,नाम,이름,Nombre,Nome do utilizador,姓名
"""Amount""","Amount","Miktar","Montant","Menge",金額,मात्रा,금액,Importe,Montante,金额
,,,,,,,,,,
# Delete Modal
"""Delete Entry""","Delete Entry","Girişi Sil","Supprimer l'entrée","Eintrag löschen",エントリーの削除,प्रविष्टि हटाएँ,항목 삭제,Borrar entrada,Eliminar registo,删除条目
"""Are you sure you want to delete this entry?""
","Are you sure you want to delete this entry?","Bu girişi silmek istediğinizden emin misiniz?","Etes-vous sûr de vouloir supprimer cette entrée ?","Sind Sie sicher, dass Sie diesen Eintrag löschen möchten?",本当に削除しますか？,क्या आप वाकई इस प्रविष्टि को हटाना चाहते हैं?,이 항목을 삭제하시겠습니까?,¿Está seguro de que desea eliminar esta entrada?,Tem a certeza de que pretende eliminar este registo?,您确定要删除此条目吗？
"""Cancel""","Cancel","İptal","Annuler","Stornieren",キャンセル,रद्द करना,취소,Cancelar,Cancelar,取消
"""Delete""","Delete","Sil","Supprimer","Löschen",削除,मिटाना,삭제,Borrar,Apagar,删除
"""Entry deleted""","Entry deleted","Giriş silindi","Entrée supprimée","Eintrag gelöscht",エントリー削除,प्रविष्टि हटा दी गई,항목 삭제됨,Entrada eliminada,Entrada eliminada,已删除条目